# entry-subent-pointer  : A0100-021-0 
# EXFOR reaction        : (23-V-0(P,X)23-V-48,CUM,SIG) 
# incident energy       : 4.9830e+01 MeV - 2.0030e+02 MeV 
# target                : V-0 
# product               : V-48 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Michel 
# institute             : (2GERKLN): Universitaet zu Koeln, Koeln 
# reference             : (J,NP/A,441,617,1985) 
# year                  : 1985 
# facility              : (SYNCY): Synchro cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A01/A0100.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0100
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.0030E+02        1.4000E+00        2.1400E-02        2.6000E-03
        1.9510E+02        1.5000E+00        2.1900E-02        2.4000E-03
        1.8990E+02        1.5000E+00        2.2500E-02        2.5000E-03
        1.8440E+02        1.6000E+00        2.2800E-02        2.3000E-03
        1.7890E+02        1.6000E+00        2.3300E-02        2.3000E-03
        1.7330E+02        1.7000E+00        2.4400E-02        2.7000E-03
        1.6750E+02        1.7000E+00        2.5200E-02        2.8000E-03
        1.6680E+02        1.2000E+00        2.4100E-02        2.7000E-03
        1.6160E+02        1.7000E+00        2.6200E-02        2.6000E-03
        1.5550E+02        1.8000E+00        2.7400E-02        2.7000E-03
        1.4960E+02        1.4000E+00        2.6800E-02        2.9000E-03
        1.4200E+02        1.5000E+00        2.7900E-02        3.1000E-03
        1.3410E+02        1.5000E+00        2.9400E-02        3.2000E-03
        1.2590E+02        1.6000E+00        3.1100E-02        3.4000E-03
        1.1730E+02        1.6000E+00        3.3000E-02        3.6000E-03
        1.0880E+02        1.7000E+00        3.6000E-02        4.0000E-03
        9.9800E+01        1.7000E+00        3.9600E-02        4.4000E-03
        9.0200E+01        1.8000E+00        4.4500E-02        4.9000E-03
        8.0000E+01        1.8000E+00        5.3200E-02        5.9000E-03
        7.8880E+01        3.4000E-01        5.6600E-02        4.5000E-03
        7.4310E+01        4.3000E-01        6.3800E-02        5.1000E-03
        6.9620E+01        5.0000E-01        7.2500E-02        5.8000E-03
        6.4580E+01        5.6000E-01        7.8800E-02        6.3000E-03
        5.9370E+01        6.1000E-01        9.3300E-02        7.5000E-03
        5.3970E+01        6.6000E-01        1.0250E-01        8.2000E-03
        4.9830E+01        7.0000E-01        8.6100E-02        6.9000E-03
