# entry-subent-pointer  : O1452--00-4-0 
# EXFOR reaction        : ['94-PU-242', ['P,F'], 'MASS,PRE,AKE,FF'] 
# incident energy       : 2.00e+01 MeV 
# target                : Pu-242 
# product               : 63.0 <= mass <= 179.0 
# level energy          : - 
# MF-MT number          : ? - 18 
# first author          : V.A.Rubchenya 
# institute             : (2SF JYV): University of Jyvaskyla, Jyvaskyla 
# reference             : (J,NP/A,734,253,2004) 
# year                  : 2004 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O14/O1452.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1452
#
#     E_in(MeV)        dE_in(MeV)      Energy(MeV)            dEnergy(MeV)
      2.00000E+01      0.00000E+00      1.73855E+08      3.11300E+04
      2.00000E+01      0.00000E+00      1.74544E+08      3.00800E+04
      2.00000E+01      0.00000E+00      1.75271E+08      2.90300E+04
      2.00000E+01      0.00000E+00      1.75975E+08      2.84600E+04
      2.00000E+01      0.00000E+00      1.76681E+08      2.79800E+04
      2.00000E+01      0.00000E+00      1.77383E+08      2.75300E+04
      2.00000E+01      0.00000E+00      1.78063E+08      2.74600E+04
      2.00000E+01      0.00000E+00      1.78716E+08      2.73500E+04
      2.00000E+01      0.00000E+00      1.79306E+08      2.72800E+04
      2.00000E+01      0.00000E+00      1.79871E+08      2.76400E+04
      2.00000E+01      0.00000E+00      1.80166E+08      2.78700E+04
      2.00000E+01      0.00000E+00      1.80533E+08      2.84600E+04
      2.00000E+01      0.00000E+00      1.80703E+08      2.87700E+04
      2.00000E+01      0.00000E+00      1.80551E+08      2.95700E+04
      2.00000E+01      0.00000E+00      1.80258E+08      3.07000E+04
      2.00000E+01      0.00000E+00      1.79776E+08      3.15400E+04
      2.00000E+01      0.00000E+00      1.79122E+08      3.27900E+04
      2.00000E+01      0.00000E+00      1.78354E+08      3.40000E+04
      2.00000E+01      0.00000E+00      1.77503E+08      3.49600E+04
      2.00000E+01      0.00000E+00      1.76692E+08      3.59400E+04
      2.00000E+01      0.00000E+00      1.75815E+08      3.69500E+04
      2.00000E+01      0.00000E+00      1.75108E+08      3.77100E+04
      2.00000E+01      0.00000E+00      1.74510E+08      3.84700E+04
      2.00000E+01      0.00000E+00      1.73939E+08      3.89000E+04
      2.00000E+01      0.00000E+00      1.73607E+08      3.95500E+04
      2.00000E+01      0.00000E+00      1.73607E+08      3.95500E+04
      2.00000E+01      0.00000E+00      1.73939E+08      3.89000E+04
      2.00000E+01      0.00000E+00      1.74510E+08      3.84700E+04
      2.00000E+01      0.00000E+00      1.75108E+08      3.77100E+04
      2.00000E+01      0.00000E+00      1.75815E+08      3.69500E+04
      2.00000E+01      0.00000E+00      1.76692E+08      3.59400E+04
      2.00000E+01      0.00000E+00      1.77503E+08      3.49600E+04
      2.00000E+01      0.00000E+00      1.78354E+08      3.40000E+04
      2.00000E+01      0.00000E+00      1.79122E+08      3.27900E+04
      2.00000E+01      0.00000E+00      1.79776E+08      3.15400E+04
      2.00000E+01      0.00000E+00      1.80258E+08      3.07000E+04
      2.00000E+01      0.00000E+00      1.80551E+08      2.95700E+04
      2.00000E+01      0.00000E+00      1.80703E+08      2.87700E+04
      2.00000E+01      0.00000E+00      1.80533E+08      2.84600E+04
      2.00000E+01      0.00000E+00      1.80166E+08      2.78700E+04
      2.00000E+01      0.00000E+00      1.79871E+08      2.76400E+04
      2.00000E+01      0.00000E+00      1.79306E+08      2.72800E+04
      2.00000E+01      0.00000E+00      1.78716E+08      2.73500E+04
      2.00000E+01      0.00000E+00      1.78063E+08      2.74600E+04
      2.00000E+01      0.00000E+00      1.77383E+08      2.75300E+04
      2.00000E+01      0.00000E+00      1.76681E+08      2.79800E+04
      2.00000E+01      0.00000E+00      1.75975E+08      2.84600E+04
      2.00000E+01      0.00000E+00      1.75271E+08      2.90300E+04
      2.00000E+01      0.00000E+00      1.74544E+08      3.00800E+04
      2.00000E+01      0.00000E+00      1.73855E+08      3.11300E+04
      2.00000E+01      0.00000E+00      1.73095E+08      3.24600E+04
      2.00000E+01      0.00000E+00      1.72427E+08      3.42100E+04
      2.00000E+01      0.00000E+00      1.71605E+08      3.61600E+04
      2.00000E+01      0.00000E+00      1.71061E+08      3.83900E+04
      2.00000E+01      0.00000E+00      1.70285E+08      4.12100E+04
      2.00000E+01      0.00000E+00      1.69656E+08      4.42000E+04
      2.00000E+01      0.00000E+00      1.69190E+08      4.80200E+04
      2.00000E+01      0.00000E+00      1.68450E+08      5.21600E+04
      2.00000E+01      0.00000E+00      1.67714E+08      5.67100E+04
      2.00000E+01      0.00000E+00      1.67051E+08      6.22100E+04
      2.00000E+01      0.00000E+00      1.66553E+08      6.87000E+04
      2.00000E+01      0.00000E+00      1.65735E+08      7.61600E+04
      2.00000E+01      0.00000E+00      1.64987E+08      8.47800E+04
      2.00000E+01      0.00000E+00      1.64035E+08      9.73900E+04
      2.00000E+01      0.00000E+00      1.63154E+08      1.09400E+05
      2.00000E+01      0.00000E+00      1.62319E+08      1.25250E+05
      2.00000E+01      0.00000E+00      1.61493E+08      1.49160E+05
      2.00000E+01      0.00000E+00      1.59784E+08      1.76220E+05
      2.00000E+01      0.00000E+00      1.58276E+08      2.09430E+05
      2.00000E+01      0.00000E+00      1.57503E+08      2.58150E+05
      2.00000E+01      0.00000E+00      1.56339E+08      2.98620E+05
      2.00000E+01      0.00000E+00      1.54475E+08      3.83310E+05
      2.00000E+01      0.00000E+00      1.52406E+08      4.48250E+05
      2.00000E+01      0.00000E+00      1.51256E+08      5.03670E+05
      2.00000E+01      0.00000E+00      1.49518E+08      6.98190E+05
      2.00000E+01      0.00000E+00      1.49440E+08      7.19640E+05
      2.00000E+01      0.00000E+00      1.47888E+08      9.44960E+05
      2.00000E+01      0.00000E+00      1.44267E+08      1.16814E+06
      2.00000E+01      0.00000E+00      1.43224E+08      1.66892E+06
      2.00000E+01      0.00000E+00      1.44398E+08      1.57076E+06
      2.00000E+01      0.00000E+00      1.43900E+08      1.29417E+06
      2.00000E+01      0.00000E+00      1.43440E+08      3.10648E+06
      2.00000E+01      0.00000E+00      1.40234E+08      1.78838E+06
      2.00000E+01      0.00000E+00      1.44449E+08      1.64653E+06
