# entry-subent-pointer  : 10798--00-4-0 
# EXFOR reaction        : ['92-U-238', ['N,F'], 'MASS,CHN,FY'] 
# incident energy       : 3.90e+00 MeV 
# target                : U-238 
# product               : 85.0 <= mass <= 149.0 
# level energy          : - 
# MF-MT number          : 8 - 459 
# first author          : S.Nagy 
# institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
# reference             : (J,PR/C,17,163,1978) 
# year                  : 1978 
# facility              : (ACCEL): Accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/107/10798.x4 
# nds                   : https://nds.iaea.org/EXFOR/10798
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan             85.0              nan      8.80000E-03      4.00000E-04
              nan             87.0              nan      1.78000E-02      8.00000E-04
              nan             88.0              nan      2.09000E-02      1.50000E-03
              nan             89.0              nan      2.57000E-02      2.90000E-03
              nan             91.0              nan      3.96000E-02      2.80000E-03
              nan             92.0              nan      4.24000E-02      2.50000E-03
              nan             93.0              nan      4.91000E-02      3.20000E-03
              nan             94.0              nan      5.13000E-02      3.90000E-03
              nan             95.0              nan      5.34000E-02      1.90000E-03
              nan             97.0              nan      5.62000E-02      1.50000E-03
              nan             99.0              nan      6.00000E-02      2.20000E-03
              nan            101.0              nan      7.08000E-02      5.10000E-03
              nan            103.0              nan      6.12000E-02      1.80000E-03
              nan            104.0              nan      4.74000E-02      2.90000E-03
              nan            105.0              nan      4.40000E-02      2.70000E-03
              nan            107.0              nan      1.05000E-02      2.20000E-03
              nan            127.0              nan      1.90000E-03      2.00000E-04
              nan            129.0              nan      7.80000E-03      7.00000E-04
              nan            131.0              nan      3.36000E-02      1.00000E-03
              nan            132.0              nan      4.89000E-02      1.20000E-03
              nan            133.0              nan      6.95000E-02      2.50000E-03
              nan            134.0              nan      7.76000E-02      4.20000E-03
              nan            135.0              nan      6.45000E-02      4.00000E-03
              nan            138.0              nan      5.82000E-02      1.80000E-03
              nan            139.0              nan      5.43000E-02      6.00000E-03
              nan            140.0              nan      6.17000E-02      4.80000E-03
              nan            141.0              nan      5.85000E-02      5.60000E-03
              nan            142.0              nan      4.85000E-02      2.80000E-03
              nan            143.0              nan      4.60000E-02      2.80000E-03
              nan            146.0              nan      3.44000E-02      3.10000E-03
              nan            147.0              nan      2.70000E-02      2.00000E-03
              nan            149.0              nan      1.94000E-02      2.00000E-03
