# entry-subent-pointer  : 20830-009-0 
# EXFOR reaction        : ['52-TE-128', ['N,2N'], '52-TE-127-G,,SIG'] 
# incident energy       : 1.27e+01 MeV - 1.82e+01 MeV 
# target                : Te-128 
# product               : Te-127-G 
# level energy          : - 
# MF-MT number          : 3 - 16 
# first author          : M.Bormann 
# institute             : (2GERHAM): Hamburg, Universitaet 
# reference             : (J,NP/A,157,481,197011) 
# year                  : 1970 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/208/20830.x4 
# nds                   : https://nds.iaea.org/EXFOR/20830
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.26500E+01      6.00000E-02      6.60000E-01      4.80000E-02
      1.30100E+01      7.00000E-02      7.88000E-01      5.80000E-02
      1.35300E+01      8.00000E-02      8.09000E-01      6.00000E-02
      1.43000E+01      9.00000E-02      8.41000E-01      6.30000E-02
      1.53100E+01      9.00000E-02      8.31000E-01      6.00000E-02
      1.58500E+01      1.00000E-01      8.39000E-01      6.00000E-02
      1.63300E+01      1.00000E-01      8.10000E-01      5.90000E-02
      1.69700E+01      1.00000E-01      8.17000E-01      5.80000E-02
      1.75900E+01      1.00000E-01      7.94000E-01      5.60000E-02
      1.82300E+01      1.10000E-01      7.35000E-01      5.30000E-02
