# entry-subent-pointer  : 14715--01-0-0 
# EXFOR reaction        : ['94-PU-239', ['N,F'], 'MASS,SEC,FY'] 
# incident energy       : 3.49e+01 MeV 
# target                : Pu-239 
# product               : 78.0 <= mass <= 162.0 
# level energy          : - 
# MF-MT number          : 8 - 454 
# first author          : A.Chemey 
# institute             : (1USAOSU): Ohio State University, Columbus, OH 
# reference             : (J,EPJ/A,56,297,2020) 
# year                  : 2020 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/147/14715.x4 
# nds                   : https://nds.iaea.org/EXFOR/14715
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan             78.0              nan      6.06061E-04              NAN
              nan             79.0              nan      9.09091E-04              NAN
              nan             80.0              nan      2.12121E-03              NAN
              nan             81.0              nan      3.03030E-03              NAN
              nan             82.0              nan      2.12121E-03              NAN
              nan             83.0              nan      3.03030E-03              NAN
              nan             84.0              nan      4.54545E-03              NAN
              nan             85.0              nan      5.15151E-03              NAN
              nan             86.0              nan      4.24242E-03              NAN
              nan             87.0              nan      5.75758E-03              NAN
              nan             88.0              nan      6.96970E-03              NAN
              nan             89.0              nan      9.09091E-03              NAN
              nan             90.0              nan      1.54545E-02              NAN
              nan             91.0              nan      1.78788E-02              NAN
              nan             92.0              nan      1.78788E-02              NAN
              nan             93.0              nan      1.75758E-02              NAN
              nan             94.0              nan      1.93939E-02              NAN
              nan             95.0              nan      2.06061E-02              NAN
              nan             96.0              nan      2.15152E-02              NAN
              nan             97.0              nan      2.27273E-02              NAN
              nan             98.0              nan      2.69697E-02              NAN
              nan             99.0              nan      3.18182E-02              NAN
              nan            100.0              nan      3.63636E-02              NAN
              nan            101.0              nan      3.90909E-02              NAN
              nan            102.0              nan      3.54545E-02              NAN
              nan            103.0              nan      3.75758E-02              NAN
              nan            104.0              nan      4.51515E-02              NAN
              nan            105.0              nan      4.66667E-02              NAN
              nan            106.0              nan      4.30303E-02              NAN
              nan            107.0              nan      3.96970E-02              NAN
              nan            108.0              nan      3.87879E-02              NAN
              nan            109.0              nan      3.78788E-02              NAN
              nan            110.0              nan      3.51515E-02              NAN
              nan            111.0              nan      3.60606E-02              NAN
              nan            112.0              nan      3.18182E-02              NAN
              nan            113.0              nan      3.06061E-02              NAN
              nan            114.0              nan      3.54546E-02              NAN
              nan            115.0              nan      3.27273E-02              NAN
              nan            116.0              nan      3.03030E-02              NAN
              nan            117.0              nan      3.33333E-02              NAN
              nan            118.0              nan      3.39394E-02              NAN
              nan            119.0              nan      2.87879E-02              NAN
              nan            120.0              nan      2.54545E-02              NAN
              nan            121.0              nan      2.87879E-02              NAN
              nan            122.0              nan      3.39394E-02              NAN
              nan            123.0              nan      3.33333E-02              NAN
              nan            124.0              nan      3.03030E-02              NAN
              nan            125.0              nan      3.27273E-02              NAN
              nan            126.0              nan      3.54546E-02              NAN
              nan            127.0              nan      3.06061E-02              NAN
              nan            128.0              nan      3.18182E-02              NAN
              nan            129.0              nan      3.60606E-02              NAN
              nan            130.0              nan      3.51515E-02              NAN
              nan            131.0              nan      3.78788E-02              NAN
              nan            132.0              nan      3.87879E-02              NAN
              nan            133.0              nan      3.96970E-02              NAN
              nan            134.0              nan      4.30303E-02              NAN
              nan            135.0              nan      4.66667E-02              NAN
              nan            136.0              nan      4.51515E-02              NAN
              nan            137.0              nan      3.75758E-02              NAN
              nan            138.0              nan      3.54545E-02              NAN
              nan            139.0              nan      3.90909E-02              NAN
              nan            140.0              nan      3.63636E-02              NAN
              nan            141.0              nan      3.18182E-02              NAN
              nan            142.0              nan      2.69697E-02              NAN
              nan            143.0              nan      2.27273E-02              NAN
              nan            144.0              nan      2.15152E-02              NAN
              nan            145.0              nan      2.06061E-02              NAN
              nan            146.0              nan      1.93939E-02              NAN
              nan            147.0              nan      1.75758E-02              NAN
              nan            148.0              nan      1.78788E-02              NAN
              nan            149.0              nan      1.78788E-02              NAN
              nan            150.0              nan      1.54545E-02              NAN
              nan            151.0              nan      9.09091E-03              NAN
              nan            152.0              nan      6.96970E-03              NAN
              nan            153.0              nan      5.75758E-03              NAN
              nan            154.0              nan      4.24242E-03              NAN
              nan            155.0              nan      5.15151E-03              NAN
              nan            156.0              nan      4.54545E-03              NAN
              nan            157.0              nan      3.03030E-03              NAN
              nan            158.0              nan      2.12121E-03              NAN
              nan            159.0              nan      3.03030E-03              NAN
              nan            160.0              nan      2.12121E-03              NAN
              nan            161.0              nan      9.09091E-04              NAN
              nan            162.0              nan      6.06061E-04              NAN
