# entry-subent-pointer  : E1659-006-0 
# EXFOR reaction        : ['90-TH-232', ['P,F'], 'MASS,PRE,AKE,FF'] 
# incident energy       : 1.32e+01 MeV 
# target                : Th-232 
# product               : 115.0 <= mass <= 160.0 
# level energy          : - 
# MF-MT number          : ? - 18 
# first author          : Y.Nagame 
# institute             : (2JPNJAE): Japan Atomic Energy Agency (JAEA) 
# reference             : (J,PL/B,387,(1),26,19961010) 
# year                  : 1996 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E16/E1659.x4 
# nds                   : https://nds.iaea.org/EXFOR/E1659
#
#     E_in(MeV)        dE_in(MeV)      Energy(MeV)            dEnergy(MeV)
      1.32000E+01      0.00000E+00      1.59000E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.59100E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.59200E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.59200E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.59700E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.60700E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.63600E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.66700E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.69800E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.71600E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.71700E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.70100E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.68500E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.66900E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.64900E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.63000E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.61800E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.59900E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.57200E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.55900E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.53800E+08      0.00000E+00
      1.32000E+01      0.00000E+00      1.50500E+08      0.00000E+00
