# entry-subent-pointer  : E1941-021-0 
# EXFOR reaction        : ['12-MG-0', ['P,EL'], '12-MG-0,,DA'] 
# incident energy       : 1.1620e+01 MeV 
# target                : Mg-0 
# product               : Mg-0 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : K.Matsuda 
# institute             : (2JPNTOK): University of Tokyo, Tokyo 
# reference             : (J,NP,27,(1),1,196109) 
# year                  : 1961 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E19/E1941.x4 
# nds                   : https://nds.iaea.org/EXFOR/E1941
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.60000E+01      0.00000E+00      5.36000E-01      0.00000E+00
      3.12000E+01      0.00000E+00      2.68000E-01      0.00000E+00
      4.15000E+01      0.00000E+00      5.07000E-02      0.00000E+00
      5.18000E+01      0.00000E+00      5.80000E-03      0.00000E+00
      6.21000E+01      0.00000E+00      2.15000E-02      0.00000E+00
      7.22000E+01      0.00000E+00      3.80000E-02      0.00000E+00
      8.23000E+01      0.00000E+00      3.54000E-02      0.00000E+00
      9.24000E+01      0.00000E+00      2.26000E-02      0.00000E+00
      1.07300E+02      0.00000E+00      6.80000E-03      0.00000E+00
      1.17200E+02      0.00000E+00      5.10000E-03      0.00000E+00
      1.27000E+02      0.00000E+00      5.10000E-03      0.00000E+00
      1.36700E+02      0.00000E+00      5.60000E-03      0.00000E+00
      1.46400E+02      0.00000E+00      6.60000E-03      0.00000E+00
      1.56000E+02      0.00000E+00      9.10000E-03      0.00000E+00
      1.65600E+02      0.00000E+00      1.44000E-02      0.00000E+00
