# entry-subent-pointer  : 40663-004-0 
# EXFOR reaction        : (42-MO-98(N,G)42-MO-99,,SIG,,SDT) 
# incident energy       : 5.0000e-06 MeV - 3.1000e-02 MeV 
# target                : Mo-98 
# product               : Mo-99 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : Kapchigashev 
# institute             : (4RUSLEB): Fiz.Institute Lebedev (FIAN), Moskva 
# reference             : (J,AE,15,120,1963) 
# year                  : 1963 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/406/40663.x4 
# nds                   : https://nds.iaea.org/EXFOR/40663
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        5.0000E-06        0.0000E+00        1.9500E-01        0.0000E+00
        6.3000E-06        0.0000E+00        2.2300E-01        0.0000E+00
        7.0000E-06        0.0000E+00        2.8000E-01        0.0000E+00
        8.6000E-06        0.0000E+00        3.7500E-01        0.0000E+00
        9.0000E-06        0.0000E+00        1.0800E+00        0.0000E+00
        9.7000E-06        0.0000E+00        1.5400E+00        0.0000E+00
        1.0300E-05        0.0000E+00        2.5000E+00        0.0000E+00
        1.1300E-05        0.0000E+00        3.8000E+00        0.0000E+00
        1.2500E-05        0.0000E+00        4.0000E+00        0.0000E+00
        1.4000E-05        0.0000E+00        3.0000E+00        0.0000E+00
        1.5000E-05        0.0000E+00        2.0000E+00        0.0000E+00
        1.6000E-05        0.0000E+00        1.1500E+00        0.0000E+00
        1.7000E-05        0.0000E+00        6.2000E-01        0.0000E+00
        1.9000E-05        0.0000E+00        3.8000E-01        0.0000E+00
        2.0200E-05        0.0000E+00        2.8000E-01        0.0000E+00
        2.5000E-05        0.0000E+00        2.5000E-01        0.0000E+00
        2.0000E-04        0.0000E+00        1.0200E-01        0.0000E+00
        2.5000E-04        0.0000E+00        1.5200E-01        0.0000E+00
        2.9000E-04        0.0000E+00        1.8000E-01        0.0000E+00
        3.0200E-04        0.0000E+00        2.5000E-01        0.0000E+00
        3.2000E-04        0.0000E+00        5.2000E-01        0.0000E+00
        3.4000E-04        0.0000E+00        9.0000E-01        0.0000E+00
        3.5000E-04        0.0000E+00        1.8000E+00        0.0000E+00
        3.6000E-04        0.0000E+00        2.0000E+00        0.0000E+00
        3.8000E-04        0.0000E+00        2.3000E+00        0.0000E+00
        4.0000E-04        0.0000E+00        2.7000E+00        0.0000E+00
        4.4000E-04        0.0000E+00        2.9000E+00        0.0000E+00
        4.6000E-04        0.0000E+00        2.7000E+00        0.0000E+00
        5.0000E-04        0.0000E+00        2.2000E+00        0.0000E+00
        5.2000E-04        0.0000E+00        2.0500E+00        0.0000E+00
        5.4000E-04        0.0000E+00        1.9000E+00        0.0000E+00
        5.8000E-04        0.0000E+00        1.6000E+00        0.0000E+00
        6.5000E-04        0.0000E+00        1.3000E+00        0.0000E+00
        7.0000E-04        0.0000E+00        1.2000E+00        0.0000E+00
        7.7000E-04        0.0000E+00        1.0800E+00        0.0000E+00
        8.0000E-04        0.0000E+00        1.0000E+00        0.0000E+00
        8.5000E-04        0.0000E+00        8.0000E-01        0.0000E+00
        9.2000E-04        0.0000E+00        7.2000E-01        0.0000E+00
        9.5000E-04        0.0000E+00        6.0000E-01        0.0000E+00
        1.0000E-03        0.0000E+00        4.8000E-01        0.0000E+00
        1.1500E-03        0.0000E+00        4.0000E-01        0.0000E+00
        1.3000E-03        0.0000E+00        3.5000E-01        0.0000E+00
        1.5000E-03        0.0000E+00        3.0500E-01        0.0000E+00
        1.7000E-03        0.0000E+00        3.2000E-01        0.0000E+00
        1.9000E-03        0.0000E+00        3.0000E-01        0.0000E+00
        2.0200E-03        0.0000E+00        3.0200E-01        0.0000E+00
        2.2000E-03        0.0000E+00        3.0500E-01        0.0000E+00
        2.7000E-03        0.0000E+00        3.0500E-01        0.0000E+00
        3.0000E-03        0.0000E+00        3.5000E-01        0.0000E+00
        3.5000E-03        0.0000E+00        3.4000E-01        0.0000E+00
        3.8000E-03        0.0000E+00        3.1000E-01        0.0000E+00
        4.2000E-03        0.0000E+00        3.0500E-01        0.0000E+00
        4.8000E-03        0.0000E+00        2.8000E-01        0.0000E+00
        5.1000E-03        0.0000E+00        2.7000E-01        0.0000E+00
        5.8000E-03        0.0000E+00        2.4000E-01        0.0000E+00
        6.7000E-03        0.0000E+00        2.5000E-01        0.0000E+00
        8.6000E-03        0.0000E+00        2.2000E-01        0.0000E+00
        1.0000E-02        0.0000E+00        2.0000E-01        0.0000E+00
        1.2000E-02        0.0000E+00        1.8000E-01        0.0000E+00
        1.5500E-02        0.0000E+00        1.5500E-01        0.0000E+00
        1.8000E-02        0.0000E+00        1.4000E-01        0.0000E+00
        2.1000E-02        0.0000E+00        1.3000E-01        0.0000E+00
        3.1000E-02        0.0000E+00        1.0500E-01        0.0000E+00
